game_id,season,week,game_type,home_team,away_team,home_score,away_score,total_points,gameday,gametime,kickoff_utc,stadium,roof,dome_indicator,temperature,wind_speed,precipitation,T_norm,T_prime,E_W,E_T,L_close,L_open,over_odds,under_odds,over_implied_prob,under_implied_prob,overround,p_over_vigfree,p_under_vigfree,weather_missing,odds_missing
2018_03_BUF_MIN,2018,3,REG,MIN,BUF,6,27,33,2018-09-23,13:00,2018-09-23 17:00:00+00:00,U.S. Bank Stadium,dome,1,,,,,,0,0,41.0,,-104.0,-106.0,0.5098039215686274,0.5145631067961165,0.024367028364743915,0.497677011707861,0.5023229882921391,0,0
2018_03_IND_PHI,2018,3,REG,PHI,IND,20,16,36,2018-09-23,13:00,2018-09-23 17:00:00+00:00,Lincoln Financial Field,outdoors,0,16.5,11.6,1.3,23.054545454545455,-6.554545454545455,0,0,45.5,,-115.0,103.0,0.5348837209302325,0.49261083743842365,0.027494558368656108,0.5205708551678002,0.47942914483219984,0,0
2018_03_GB_WAS,2018,3,REG,WAS,GB,31,17,48,2018-09-23,13:00,2018-09-23 17:00:00+00:00,FedExField,outdoors,0,18.0,13.8,1.4,24.108333333333334,-6.108333333333334,0,0,46.5,,109.0,-122.0,0.4784688995215311,0.5495495495495496,0.028018449071080642,0.4654283198456958,0.5345716801543042,0,0
2018_03_LAC_LA,2018,3,REG,LA,LAC,35,23,58,2018-09-23,16:05,2018-09-23 20:05:00+00:00,Los Angeles Memorial Coliseum,outdoors,0,,,,,,0,0,49.0,,-101.0,-110.0,0.5024875621890548,0.5238095238095238,0.026297085998578495,0.489612188365651,0.5103878116343491,1,0
2018_03_CHI_ARI,2018,3,REG,ARI,CHI,14,16,30,2018-09-23,16:25,2018-09-23 20:25:00+00:00,State Farm Stadium,closed,1,,,,,,0,0,39.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_03_DAL_SEA,2018,3,REG,SEA,DAL,24,13,37,2018-09-23,16:25,2018-09-23 20:25:00+00:00,CenturyLink Field,outdoors,0,15.8,3.7,0.0,19.058333333333334,-3.258333333333333,0,0,40.0,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_03_NE_DET,2018,3,REG,DET,NE,26,10,36,2018-09-23,20:20,2018-09-24 00:20:00+00:00,Ford Field,dome,1,,,,,,0,0,55.5,,-110.0,-101.0,0.5238095238095238,0.5024875621890548,0.026297085998578495,0.5103878116343491,0.489612188365651,0,0
2018_03_PIT_TB,2018,3,REG,TB,PIT,27,30,57,2018-09-24,20:15,2018-09-25 00:15:00+00:00,Raymond James Stadium,outdoors,0,26.0,8.7,0.0,28.923076923076923,-2.9230769230769234,0,0,55.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_04_MIN_LA,2018,4,REG,LA,MIN,38,31,69,2018-09-27,20:20,2018-09-28 00:20:00+00:00,Los Angeles Memorial Coliseum,outdoors,0,,,,,,0,0,48.5,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,1,0
2018_04_CIN_ATL,2018,4,REG,ATL,CIN,36,37,73,2018-09-30,13:00,2018-09-30 17:00:00+00:00,Mercedes-Benz Stadium,closed,1,,,,,,0,0,52.0,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_04_TB_CHI,2018,4,REG,CHI,TB,48,10,58,2018-09-30,13:00,2018-09-30 17:00:00+00:00,Soldier Field,outdoors,0,17.5,5.6,0.5,20.62727272727273,-3.1272727272727288,0,0,46.0,,-110.0,-101.0,0.5238095238095238,0.5024875621890548,0.026297085998578495,0.5103878116343491,0.489612188365651,0,0
2018_04_DET_DAL,2018,4,REG,DAL,DET,26,24,50,2018-09-30,13:00,2018-09-30 17:00:00+00:00,AT&T Stadium,closed,1,,,,,,0,0,44.0,,-106.0,-104.0,0.5145631067961165,0.5098039215686274,0.024367028364743915,0.5023229882921391,0.497677011707861,0,0
2018_04_BUF_GB,2018,4,REG,GB,BUF,22,0,22,2018-09-30,13:00,2018-09-30 17:00:00+00:00,Lambeau Field,outdoors,0,9.9,7.6,0.0,20.36923076923077,-10.469230769230771,0,1,44.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_04_HOU_IND,2018,4,REG,IND,HOU,34,37,71,2018-09-30,13:00,2018-09-30 17:00:00+00:00,Lucas Oil Stadium,closed,1,,,,,,0,0,48.0,,-102.0,-109.0,0.504950495049505,0.5215311004784688,0.0264815955279738,0.4919235739339118,0.5080764260660882,0,0
2018_04_NYJ_JAX,2018,4,REG,JAX,NYJ,31,12,43,2018-09-30,13:00,2018-09-30 17:00:00+00:00,TIAA Bank Stadium,outdoors,0,28.5,14.7,0.1,28.415384615384614,0.08461538461538609,0,0,40.5,,-103.0,-107.0,0.5073891625615764,0.5169082125603864,0.02429737512196284,0.4953533757725013,0.5046466242274987,0,0
2018_04_MIA_NE,2018,4,REG,NE,MIA,38,7,45,2018-09-30,13:00,2018-09-30 17:00:00+00:00,Gillette Stadium,outdoors,0,18.4,8.4,0.0,21.883333333333336,-3.483333333333338,0,0,50.5,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_04_PHI_TEN,2018,4,REG,TEN,PHI,26,23,49,2018-09-30,13:00,2018-09-30 17:00:00+00:00,Nissan Stadium,outdoors,0,26.0,1.3,0.0,25.536363636363635,0.46363636363636473,0,0,41.5,,-109.0,-102.0,0.5215311004784688,0.504950495049505,0.0264815955279738,0.5080764260660882,0.4919235739339118,0,0
2018_04_SEA_ARI,2018,4,REG,ARI,SEA,17,20,37,2018-09-30,16:05,2018-09-30 20:05:00+00:00,State Farm Stadium,closed,1,,,,,,0,0,40.0,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_04_CLE_OAK,2018,4,REG,OAK,CLE,45,42,87,2018-09-30,16:05,2018-09-30 20:05:00+00:00,Oakland-Alameda County Coliseum,outdoors,0,22.0,13.5,0.0,19.575,2.4250000000000007,0,0,44.5,,-109.0,-102.0,0.5215311004784688,0.504950495049505,0.0264815955279738,0.5080764260660882,0.4919235739339118,0,0
2018_04_SF_LAC,2018,4,REG,LAC,SF,29,27,56,2018-09-30,16:25,2018-09-30 20:25:00+00:00,StubHub Center,outdoors,0,27.7,15.1,0.0,29.025,-1.3249999999999993,0,0,46.0,,101.0,-112.0,0.4975124378109453,0.5283018867924528,0.025814324603398164,0.4849926793557833,0.5150073206442166,0,0
2018_04_NO_NYG,2018,4,REG,NYG,NO,18,33,51,2018-09-30,16:25,2018-09-30 20:25:00+00:00,MetLife Stadium,outdoors,0,20.2,11.2,0.0,22.053846153846152,-1.8538461538461526,0,0,51.5,,-103.0,-108.0,0.5073891625615764,0.5192307692307693,0.026619931792345675,0.49423272123281353,0.5057672787671865,0,0
2018_04_BAL_PIT,2018,4,REG,PIT,BAL,14,26,40,2018-09-30,20:20,2018-10-01 00:20:00+00:00,Heinz Field,outdoors,0,18.9,6.6,0.0,22.458333333333332,-3.5583333333333336,0,0,51.0,,-103.0,-108.0,0.5073891625615764,0.5192307692307693,0.026619931792345675,0.49423272123281353,0.5057672787671865,0,0
2018_04_KC_DEN,2018,4,REG,DEN,KC,23,27,50,2018-10-01,20:15,2018-10-02 00:15:00+00:00,Sports Authority Field at Mile High,outdoors,0,17.6,4.6,0.0,15.35,2.2500000000000018,0,0,53.5,,-122.0,109.0,0.5495495495495496,0.4784688995215311,0.028018449071080642,0.5345716801543042,0.4654283198456958,0,0
2018_05_IND_NE,2018,5,REG,NE,IND,38,24,62,2018-10-04,20:20,2018-10-05 00:20:00+00:00,Gillette Stadium,outdoors,0,18.4,11.5,0.0,13.606250000000001,4.7937499999999975,0,0,49.5,,-102.0,-109.0,0.504950495049505,0.5215311004784688,0.0264815955279738,0.4919235739339118,0.5080764260660882,0,0
2018_05_TEN_BUF,2018,5,REG,BUF,TEN,13,12,25,2018-10-07,13:00,2018-10-07 17:00:00+00:00,New Era Field,outdoors,0,19.2,8.8,0.0,14.164285714285715,5.035714285714285,0,0,38.0,,-119.0,106.0,0.54337899543379,0.4854368932038835,0.02881588863767348,0.5281596070151248,0.47184039298487523,0,0
2018_05_NYG_CAR,2018,5,REG,CAR,NYG,33,31,64,2018-10-07,13:00,2018-10-07 17:00:00+00:00,Bank of America Stadium,outdoors,0,26.0,4.3,0.1,21.635714285714283,4.364285714285717,0,0,43.5,,-109.0,-102.0,0.5215311004784688,0.504950495049505,0.0264815955279738,0.5080764260660882,0.4919235739339118,0,0
2018_05_MIA_CIN,2018,5,REG,CIN,MIA,27,17,44,2018-10-07,13:00,2018-10-07 17:00:00+00:00,Paul Brown Stadium,outdoors,0,28.5,7.7,0.1,19.224999999999998,9.275000000000002,0,1,47.5,,102.0,-114.0,0.49504950495049505,0.5327102803738317,0.02775978532432677,0.48167822094174845,0.5183217790582515,0,0
2018_05_BAL_CLE,2018,5,REG,CLE,BAL,12,9,21,2018-10-07,13:00,2018-10-07 17:00:00+00:00,FirstEnergy Stadium,outdoors,0,19.5,15.3,0.0,14.971428571428572,4.5285714285714285,0,0,44.5,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_05_GB_DET,2018,5,REG,DET,GB,31,23,54,2018-10-07,13:00,2018-10-07 17:00:00+00:00,Ford Field,dome,1,,,,,,0,0,50.0,,-103.0,-108.0,0.5073891625615764,0.5192307692307693,0.026619931792345675,0.49423272123281353,0.5057672787671865,0,0
2018_05_JAX_KC,2018,5,REG,KC,JAX,30,14,44,2018-10-07,13:00,2018-10-07 17:00:00+00:00,Arrowhead Stadium,outdoors,0,17.6,10.1,1.0,17.95714285714286,-0.35714285714285765,0,0,48.0,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_05_DEN_NYJ,2018,5,REG,NYJ,DEN,34,16,50,2018-10-07,13:00,2018-10-07 17:00:00+00:00,MetLife Stadium,outdoors,0,25.0,13.0,0.0,16.58125,8.41875,0,1,42.0,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_05_ATL_PIT,2018,5,REG,PIT,ATL,41,17,58,2018-10-07,13:00,2018-10-07 17:00:00+00:00,Heinz Field,outdoors,0,27.0,5.8,0.0,16.073333333333334,10.926666666666666,0,1,57.0,,-101.0,-110.0,0.5024875621890548,0.5238095238095238,0.026297085998578495,0.489612188365651,0.5103878116343491,0,0
2018_05_OAK_LAC,2018,5,REG,LAC,OAK,26,10,36,2018-10-07,16:05,2018-10-07 20:05:00+00:00,StubHub Center,outdoors,0,23.7,14.7,0.0,23.025,0.6750000000000007,0,0,52.0,,-114.0,102.0,0.5327102803738317,0.49504950495049505,0.02775978532432677,0.5183217790582515,0.48167822094174845,0,0
2018_05_MIN_PHI,2018,5,REG,PHI,MIN,21,23,44,2018-10-07,16:25,2018-10-07 20:25:00+00:00,Lincoln Financial Field,outdoors,0,27.3,11.3,0.0,18.915384615384617,8.384615384615383,0,1,48.0,,102.0,-114.0,0.49504950495049505,0.5327102803738317,0.02775978532432677,0.48167822094174845,0.5183217790582515,0,0
2018_05_LA_SEA,2018,5,REG,SEA,LA,31,33,64,2018-10-07,16:25,2018-10-07 20:25:00+00:00,CenturyLink Field,outdoors,0,12.3,11.3,0.4,13.549999999999999,-1.2499999999999982,0,0,50.5,,-109.0,-102.0,0.5215311004784688,0.504950495049505,0.0264815955279738,0.5080764260660882,0.4919235739339118,0,0
2018_05_ARI_SF,2018,5,REG,SF,ARI,18,28,46,2018-10-07,16:25,2018-10-07 20:25:00+00:00,Levi's Stadium,outdoors,0,25.9,20.3,0.0,24.594117647058823,1.3058823529411754,0,0,40.5,,-118.0,106.0,0.5412844036697247,0.4854368932038835,0.026721296873608136,0.5271970157022643,0.4728029842977358,0,0
2018_05_DAL_HOU,2018,5,REG,HOU,DAL,19,16,35,2018-10-07,20:20,2018-10-08 00:20:00+00:00,NRG Stadium,closed,1,,,,,,0,0,45.0,,100.0,-111.0,0.5,0.5260663507109005,0.026066350710900466,0.48729792147806006,0.5127020785219399,0,0
2018_05_WAS_NO,2018,5,REG,NO,WAS,43,19,62,2018-10-08,20:15,2018-10-09 00:15:00+00:00,Mercedes-Benz Superdome,dome,1,,,,,,0,0,51.5,,-108.0,-103.0,0.5192307692307693,0.5073891625615764,0.026619931792345675,0.5057672787671865,0.49423272123281353,0,0
2018_06_PHI_NYG,2018,6,REG,NYG,PHI,13,34,47,2018-10-11,20:20,2018-10-12 00:20:00+00:00,MetLife Stadium,outdoors,0,21.6,11.9,1.4,16.464285714285715,5.135714285714286,0,0,45.5,,-109.0,-102.0,0.5215311004784688,0.504950495049505,0.0264815955279738,0.5080764260660882,0.4919235739339118,0,0
2018_06_TB_ATL,2018,6,REG,ATL,TB,34,29,63,2018-10-14,13:00,2018-10-14 17:00:00+00:00,Mercedes-Benz Stadium,open,0,21.9,10.9,0.0,19.47,2.4299999999999997,0,0,57.5,,-103.0,-108.0,0.5073891625615764,0.5192307692307693,0.026619931792345675,0.49423272123281353,0.5057672787671865,0,0
2018_06_PIT_CIN,2018,6,REG,CIN,PIT,21,28,49,2018-10-14,13:00,2018-10-14 17:00:00+00:00,Paul Brown Stadium,outdoors,0,10.6,10.6,0.0,19.224999999999998,-8.624999999999998,0,1,49.5,,-103.0,-108.0,0.5073891625615764,0.5192307692307693,0.026619931792345675,0.49423272123281353,0.5057672787671865,0,0
2018_06_LAC_CLE,2018,6,REG,CLE,LAC,14,38,52,2018-10-14,13:00,2018-10-14 17:00:00+00:00,FirstEnergy Stadium,outdoors,0,12.2,9.2,0.0,14.971428571428572,-2.7714285714285722,0,0,47.0,,-104.0,-106.0,0.5098039215686274,0.5145631067961165,0.024367028364743915,0.497677011707861,0.5023229882921391,0,0
